station,train_no,destination,expected_arr,time_to_station,tfl_status,time
EPY,076,Edgware Road,2026-07-21T15:01:54Z,402,Good Service,2026-07-21 14:56:15.378663+00:00
PYB,062,Edgware Road,2026-07-21T14:59:53Z,281,Good Service,2026-07-21 14:56:15.477606+00:00
PYB,076,Edgware Road,2026-07-21T15:03:54Z,522,Good Service,2026-07-21 14:56:15.482074+00:00
PSG,062,Edgware Road,2026-07-21T15:02:54Z,484,Good Service,2026-07-21 14:56:15.578324+00:00
PSG,076,Edgware Road,2026-07-21T15:06:54Z,724,Good Service,2026-07-21 14:56:15.581881+00:00
FBY,062,Edgware Road,2026-07-21T15:05:49Z,614,Good Service,2026-07-21 14:56:15.700654+00:00
FBY,076,Edgware Road,2026-07-21T15:08:49Z,794,Good Service,2026-07-21 14:56:15.704995+00:00
WIP,076,Edgware Road,2026-07-21T14:57:24Z,109,Good Service,2026-07-21 14:56:36.980238+00:00
SFS,076,Edgware Road,2026-07-21T14:59:23Z,228,Good Service,2026-07-21 14:56:37.092568+00:00
EPY,062,Edgware Road,2026-07-21T14:59:18Z,200,Good Service,2026-07-21 14:56:38.084400+00:00
EPY,076,Edgware Road,2026-07-21T15:00:48Z,290,Good Service,2026-07-21 14:56:38.090071+00:00
PYB,062,Edgware Road,2026-07-21T14:59:53Z,281,Good Service,2026-07-21 14:56:38.194697+00:00
PYB,076,Edgware Road,2026-07-21T15:03:54Z,522,Good Service,2026-07-21 14:56:38.198317+00:00
PSG,062,Edgware Road,2026-07-21T15:03:49Z,471,Good Service,2026-07-21 14:56:38.377124+00:00
PSG,076,Edgware Road,2026-07-21T15:05:49Z,591,Good Service,2026-07-21 14:56:38.381332+00:00
FBY,062,Edgware Road,2026-07-21T15:05:49Z,614,Good Service,2026-07-21 14:56:38.481274+00:00
FBY,076,Edgware Road,2026-07-21T15:08:49Z,794,Good Service,2026-07-21 14:56:38.485541+00:00
WIP,076,Edgware Road,2026-07-21T14:56:39Z,19,Good Service,2026-07-21 14:56:59.917069+00:00
SFS,076,Edgware Road,2026-07-21T14:59:18Z,179,Good Service,2026-07-21 14:57:00.037827+00:00
EPY,062,Edgware Road,2026-07-21T14:59:18Z,200,Good Service,2026-07-21 14:57:00.153771+00:00
EPY,076,Edgware Road,2026-07-21T15:00:48Z,290,Good Service,2026-07-21 14:57:00.158320+00:00
PYB,062,Edgware Road,2026-07-21T15:00:48Z,268,Good Service,2026-07-21 14:57:00.278653+00:00
