station,train_no,destination,expected_arr,time_to_station,tfl_status,time
SFS,063,Wimbledon,2026-07-21T14:54:11Z,73,Good Service,2026-07-21 14:53:38.519188+00:00
SFS,070,Wimbledon,2026-07-21T14:57:11Z,253,Good Service,2026-07-21 14:53:38.523383+00:00
SFS,071,Wimbledon,2026-07-21T15:08:42Z,944,Good Service,2026-07-21 14:53:38.527621+00:00
SFS,072,Wimbledon,2026-07-21T15:18:42Z,1544,Good Service,2026-07-21 14:53:38.531033+00:00
EPY,054,Wimbledon,2026-07-21T15:01:36Z,564,Good Service,2026-07-21 14:53:38.649586+00:00
EPY,070,Wimbledon,2026-07-21T14:56:06Z,234,Good Service,2026-07-21 14:53:38.653600+00:00
EPY,071,Wimbledon,2026-07-21T15:06:36Z,864,Good Service,2026-07-21 14:53:38.658929+00:00
EPY,072,Wimbledon,2026-07-21T15:16:36Z,1464,Good Service,2026-07-21 14:53:38.663960+00:00
PYB,054,Wimbledon,2026-07-21T14:59:42Z,403,Good Service,2026-07-21 14:53:38.792112+00:00
PYB,070,Wimbledon,2026-07-21T14:53:07Z,8,Good Service,2026-07-21 14:53:38.796989+00:00
PYB,071,Wimbledon,2026-07-21T15:04:42Z,703,Good Service,2026-07-21 14:53:38.801411+00:00
PYB,072,Wimbledon,2026-07-21T15:14:42Z,1303,Good Service,2026-07-21 14:53:38.807633+00:00
PSG,054,Wimbledon,2026-07-21T14:57:41Z,282,Good Service,2026-07-21 14:53:38.915836+00:00
PSG,071,Wimbledon,2026-07-21T15:02:42Z,583,Good Service,2026-07-21 14:53:38.919575+00:00
PSG,072,Wimbledon,2026-07-21T15:12:41Z,1182,Good Service,2026-07-21 14:53:38.924621+00:00
FBY,054,Wimbledon,2026-07-21T14:53:36Z,84,Good Service,2026-07-21 14:53:39.030772+00:00
FBY,071,Wimbledon,2026-07-21T14:58:36Z,384,Good Service,2026-07-21 14:53:39.034811+00:00
FBY,072,Wimbledon,2026-07-21T15:08:36Z,984,Good Service,2026-07-21 14:53:39.040528+00:00
WIP,054,Wimbledon,2026-07-21T15:04:35Z,721,Good Service,2026-07-21 14:54:00.024914+00:00
WIP,063,Wimbledon,2026-07-21T14:55:05Z,151,Good Service,2026-07-21 14:54:00.032875+00:00
WIP,070,Wimbledon,2026-07-21T14:58:35Z,361,Good Service,2026-07-21 14:54:00.039426+00:00
